M,R,P,L,S,G,K,T,I,F,A,C,Q,V,Y,N,E,D,H,W,U,Mass
19,33,20,44,27,27,28,21,19,24,26,16,25,19,8,10,36,17,11,4,0,49762
9,17,16,36,26,38,38,18,27,17,43,6,11,33,11,24,29,26,6,3,0,47169
8,20,15,41,24,39,26,18,27,14,44,6,13,32,13,20,34,30,6,4,0,47269
14,21,20,31,44,36,22,24,20,10,39,5,28,18,11,28,26,20,15,2,0,47190
11,24,15,44,28,18,47,24,27,19,24,12,16,24,10,21,28,25,15,2,0,49736
7,13,21,40,31,43,15,31,10,13,33,12,15,40,5,7,41,35,11,11,0,46751
11,20,13,41,24,23,44,27,21,19,23,7,25,26,10,17,44,25,12,2,0,49717
10,20,30,29,45,28,26,20,24,18,37,5,25,21,18,13,30,17,12,6,0,48329
16,20,15,47,32,35,30,24,35,16,20,9,13,36,12,15,26,14,9,10,0,48705
7,22,37,48,41,30,19,22,9,13,28,14,27,38,11,9,28,12,11,8,0,47748
12,76,12,17,63,20,49,14,7,7,34,1,20,12,5,12,41,17,13,2,0,50560
4,31,38,37,53,32,18,15,15,19,37,8,19,28,10,9,22,19,13,7,0,47458
15,25,8,38,28,31,38,23,20,33,34,5,20,23,9,11,35,18,13,7,0,49666
4,39,53,66,24,41,5,7,6,14,64,12,14,26,7,5,15,9,11,12,0,46353
10,29,46,30,31,44,17,25,12,13,44,12,18,24,8,14,26,19,12,0,0,46052
8,27,17,50,20,27,37,24,28,21,21,4,18,22,13,16,32,30,13,6,0,50128
7,29,34,32,34,30,33,29,13,10,23,23,21,26,11,13,26,27,9,4,0,48163
6,18,17,54,47,12,22,19,24,22,22,14,15,40,9,18,29,21,19,6,0,49152
13,14,27,60,40,37,8,20,27,26,40,15,12,45,12,3,13,8,4,11,0,46731
3,20,20,61,27,15,30,28,24,27,21,9,15,28,20,18,26,23,17,3,0,50283
13,24,30,37,33,22,31,18,20,19,23,10,18,23,13,16,41,23,13,8,0,49967
7,21,22,40,47,20,20,24,23,18,21,14,32,24,11,18,31,20,21,1,0,48990
7,16,57,42,27,38,13,28,12,8,33,25,22,19,10,15,29,13,14,7,0,46709
9,25,33,46,24,35,7,23,13,20,46,11,28,25,16,14,15,20,9,16,0,48368
14,27,37,54,31,24,17,24,22,18,38,7,22,29,9,10,21,10,11,10,0,48548
8,23,19,54,48,25,19,22,30,28,19,16,18,20,17,10,20,12,18,9,0,49710
5,50,47,30,40,52,18,13,8,10,51,12,18,17,4,6,25,19,5,5,0,46114
4,43,62,34,48,41,10,18,7,13,50,6,13,15,1,6,35,19,8,2,0,45802
9,18,37,60,43,14,16,32,10,16,34,17,20,25,16,8,17,17,21,5,0,48406
10,32,18,50,35,26,26,18,23,12,29,8,24,29,12,11,27,29,13,3,0,49001
11,14,31,48,29,23,19,38,17,20,31,13,15,42,14,11,21,17,10,11,0,48329
6,17,25,40,35,26,23,43,25,13,29,8,18,36,11,18,24,27,6,5,0,47554
10,42,10,52,25,6,17,33,13,9,42,12,33,14,11,16,46,23,18,3,0,50649
6,26,27,42,48,28,21,18,11,17,36,6,22,23,11,14,40,27,10,2,0,47961
13,27,17,29,32,26,38,19,37,21,22,6,20,37,14,20,28,17,7,5,0,49655
9,21,27,53,36,29,22,18,15,20,31,10,24,22,14,11,31,15,19,8,0,49023
11,21,34,34,49,22,28,16,21,19,31,3,25,31,17,13,27,19,9,5,0,48676
11,11,19,65,27,13,16,21,38,45,37,6,9,38,27,11,15,11,7,8,0,50052
13,20,30,43,27,32,26,27,18,16,26,11,20,30,15,15,30,18,12,6,0,48644
7,24,43,45,29,32,17,20,19,18,52,7,17,19,12,10,30,16,11,7,0,47410
15,20,13,60,38,13,29,14,25,23,20,7,28,28,9,27,33,14,17,3,0,50377
9,30,60,39,32,41,12,19,10,17,51,6,11,14,17,6,24,16,17,5,0,47045
13,12,30,38,41,23,20,33,20,10,28,7,42,34,6,18,28,23,7,3,0,47607
13,31,27,43,38,29,20,16,21,20,29,4,16,28,22,20,22,23,11,3,0,49244
6,24,23,43,27,27,31,8,18,9,23,2,38,26,10,27,42,36,15,1,0,49498
13,27,21,39,33,33,33,26,30,14,13,6,16,30,15,12,40,16,16,3,0,49606
8,20,31,41,22,36,19,16,18,17,54,6,12,26,17,17,40,14,16,6,0,47776
4,40,17,26,35,33,42,26,11,21,18,28,20,17,14,12,30,10,28,4,0,50339
13,13,25,42,37,18,45,21,34,21,17,6,18,23,15,20,33,13,16,6,0,50224
14,42,15,47,35,29,9,20,27,24,31,14,7,34,18,10,26,19,8,7,0,49593
10,20,19,50,28,15,33,24,22,18,26,12,27,27,11,21,34,21,17,1,0,49783
15,25,35,30,61,25,17,32,14,8,37,6,19,11,13,19,26,34,8,1,0,47215
6,23,17,29,33,27,28,18,17,15,25,27,24,22,14,15,25,51,10,10,0,49429
9,18,15,61,45,42,8,25,19,28,37,12,17,33,11,9,13,11,8,15,0,47482
6,19,36,40,50,25,28,19,10,17,21,13,22,14,17,24,23,27,15,10,0,49268
12,19,39,47,65,30,22,21,10,14,20,6,29,20,5,23,21,16,13,4,0,47432
7,32,25,50,29,34,8,20,9,21,45,15,12,37,9,8,34,22,12,7,0,47846
5,25,22,61,35,36,13,14,13,17,30,7,27,36,13,13,30,25,11,3,0,48080
2,11,38,18,65,34,49,31,7,5,38,0,21,19,4,16,42,29,8,0,0,45880
13,25,36,36,25,26,19,31,28,17,19,7,22,29,19,21,27,21,8,8,0,49851
8,22,30,54,38,26,27,18,17,10,25,9,29,45,5,12,23,17,15,7,0,48350
4,23,41,49,39,29,23,20,14,10,28,7,21,23,12,28,22,22,20,2,0,48062
9,92,33,20,23,44,22,10,9,7,20,1,6,10,13,9,53,42,12,2,0,51557
6,22,26,34,25,21,32,26,11,33,42,6,22,26,14,15,39,18,7,12,0,50119
8,18,28,51,31,35,15,18,18,17,32,16,25,24,20,9,30,18,16,8,0,48774
9,18,10,43,27,37,37,22,28,24,24,4,19,30,14,18,35,29,7,2,0,49031
5,24,41,57,41,31,14,24,17,10,39,6,23,21,5,7,32,29,9,2,0,46920
2,34,12,30,52,34,30,27,9,20,15,25,21,19,14,10,36,8,36,3,0,49865
13,37,28,49,17,23,26,21,20,13,44,4,19,28,12,8,43,18,9,5,0,49601
5,16,54,53,36,25,22,30,17,8,31,8,28,21,12,9,29,26,3,4,0,47506
15,26,15,34,23,21,46,17,22,14,21,5,27,33,12,27,47,19,10,3,0,50680
12,28,25,48,29,23,31,24,20,16,29,6,14,23,15,10,39,34,7,4,0,49677
6,23,24,45,37,32,13,30,15,16,38,17,20,28,12,15,20,26,17,3,0,47547
20,11,45,24,40,27,20,35,22,8,34,5,43,19,23,21,13,16,9,2,0,47840
12,31,19,42,32,24,30,18,21,21,31,11,13,21,29,19,21,14,17,11,0,51008
10,16,33,52,39,47,10,36,12,9,21,28,25,28,5,15,19,14,11,7,0,46363
14,27,13,59,34,21,23,24,17,15,27,14,25,18,8,14,47,17,16,4,0,49893
6,37,19,12,36,33,49,31,16,25,15,34,12,5,19,6,39,6,36,1,0,50950
12,13,14,40,46,20,32,35,18,5,34,4,33,39,15,17,27,21,9,3,0,48075
10,40,30,31,24,34,17,15,22,15,39,4,25,27,8,9,56,16,10,5,0,49192
5,29,34,44,48,33,14,21,9,23,32,5,23,31,9,13,29,16,12,7,0,48165
10,15,29,40,34,34,23,20,28,17,25,16,19,35,11,12,21,29,8,11,0,48246
14,23,22,41,33,26,40,23,20,14,34,5,13,25,9,18,36,26,10,5,0,48898
2,37,25,48,32,31,16,23,9,7,50,5,37,22,4,9,34,17,20,10,0,48521
10,21,21,41,38,25,25,29,22,19,20,19,21,20,12,18,28,21,23,5,0,49630
15,28,35,56,28,41,9,16,12,16,38,9,18,35,17,8,20,15,11,11,0,48314
11,22,22,45,27,15,34,17,20,17,29,13,19,29,20,22,28,22,16,10,0,50864
5,21,21,58,43,23,17,24,30,24,22,21,13,31,16,14,18,15,10,12,0,49479
5,18,22,73,49,36,5,20,18,25,39,10,14,27,14,11,19,11,12,10,0,47623
14,14,19,72,29,22,28,26,42,30,23,11,13,35,7,15,22,10,4,2,0,48871
10,38,30,43,25,38,13,17,14,20,25,7,19,30,25,15,17,22,17,13,0,50480
11,26,19,30,40,28,29,27,40,18,25,8,19,29,14,16,21,20,9,9,0,49410
15,21,20,42,36,21,46,23,23,24,25,10,16,16,15,21,19,30,10,5,0,50147
8,26,22,79,25,26,11,23,18,32,35,13,18,27,18,10,11,7,15,14,0,50126
15,32,16,52,33,43,16,22,22,11,37,9,19,22,13,16,28,17,10,5,0,48127
10,30,30,38,40,34,17,23,6,13,19,18,29,20,4,8,43,21,24,11,0,49528
8,32,35,47,29,28,14,18,20,14,48,10,22,34,13,7,23,21,9,6,0,48134
10,13,25,46,29,18,20,25,37,21,24,14,20,40,19,10,24,17,12,14,0,50142
12,20,23,33,30,26,21,31,31,15,37,15,13,33,10,20,26,29,8,5,0,48072
11,13,22,56,47,37,11,30,50,28,35,11,14,22,11,10,6,11,6,8,0,47277
7,21,23,46,23,36,28,22,27,16,37,6,9,35,18,18,27,24,10,6,0,48535
6,58,26,56,47,21,11,12,6,4,57,2,32,25,5,5,36,15,12,3,0,48709
15,23,20,45,16,25,36,23,29,10,35,5,22,30,10,18,41,31,4,1,0,49204
15,29,20,32,26,21,24,25,17,15,45,6,11,25,13,14,53,35,11,2,0,49452
13,30,12,34,41,18,36,24,20,17,32,8,21,20,6,17,50,23,11,6,0,50246
14,44,14,20,27,15,44,17,13,13,29,0,17,26,11,12,87,29,4,3,0,51958
10,27,20,38,27,28,32,20,35,12,30,11,17,30,5,15,45,28,6,3,0,48949
7,15,35,61,28,13,30,24,21,21,22,1,26,25,18,18,24,31,15,4,0,50436
5,18,26,39,31,31,37,15,10,14,30,25,17,20,14,22,27,37,11,10,0,49124
7,22,18,41,30,33,35,17,14,18,21,11,14,27,23,33,32,25,9,9,0,50229
11,34,17,42,24,25,36,20,16,21,17,10,19,31,15,17,30,30,14,10,0,51472
7,30,35,35,39,41,10,22,11,16,28,30,28,30,9,18,21,16,12,1,0,47376
7,41,38,35,24,42,8,20,7,15,62,13,13,34,9,7,33,15,11,5,0,47002
10,51,21,34,45,34,20,19,18,16,41,5,18,18,9,17,26,27,9,1,0,48731
10,32,36,29,29,32,40,14,12,6,48,6,16,30,2,20,46,17,5,9,0,48161
10,25,35,47,30,42,19,14,14,19,45,11,10,33,10,10,29,18,14,4,0,47331
6,35,33,45,18,13,19,24,20,20,45,11,23,25,17,16,27,24,11,7,0,50365
4,32,36,36,36,42,20,28,14,18,33,13,12,35,5,12,34,11,17,2,0,47508
13,24,10,48,42,20,17,35,27,31,19,7,14,34,23,22,22,20,5,7,0,50640
10,29,32,40,34,35,20,25,14,7,33,18,18,33,5,10,39,23,10,5,0,47878
8,26,21,64,27,20,23,19,12,13,30,15,30,28,8,11,44,16,15,10,0,50344
10,20,43,56,23,37,12,23,17,19,23,6,17,29,20,16,21,21,13,14,0,49578
10,27,44,74,37,30,6,24,15,19,51,14,12,25,6,12,8,13,5,8,0,46954
13,22,25,45,21,34,45,26,28,9,21,3,15,29,11,10,40,34,9,0,0,49185
8,28,28,46,24,35,14,21,24,11,50,8,15,34,7,15,26,23,20,3,0,47535
10,25,43,35,49,40,20,14,11,12,33,14,12,19,9,9,41,25,13,6,0,47687
5,20,18,44,32,43,29,17,19,17,38,7,13,32,11,13,32,34,6,10,0,48121
13,26,22,46,24,30,28,15,21,26,31,14,15,25,20,18,23,20,12,11,0,50567
12,16,11,67,39,21,27,22,27,12,36,7,25,30,14,13,37,15,8,1,0,48855
17,23,26,46,28,29,26,20,21,18,28,6,8,32,21,20,21,26,10,14,0,50241
12,12,13,57,45,27,18,21,31,24,29,13,27,27,15,9,17,14,19,10,0,49395
10,18,20,51,40,27,30,19,8,10,32,6,31,39,14,12,34,21,13,5,0,48928
12,22,15,50,33,20,32,18,21,22,21,14,32,30,18,13,29,26,6,6,0,50802
5,37,117,28,42,36,20,18,10,7,34,1,14,11,7,15,14,14,10,0,0,46289
9,28,24,40,48,15,29,21,23,16,16,17,15,19,13,23,27,33,17,7,0,50623
9,12,49,43,52,41,11,25,10,12,34,4,19,24,8,10,38,23,11,5,0,46482
5,24,21,55,38,16,32,27,20,18,30,14,16,23,15,12,36,14,14,10,0,50416
4,35,34,55,31,32,25,19,13,14,29,7,21,25,6,7,45,26,8,4,0,49092
4,22,27,45,49,34,12,23,20,12,29,9,33,29,14,6,29,19,16,9,0,48656
3,20,27,42,26,40,20,35,11,23,35,14,20,34,13,12,22,17,11,16,0,48829
11,23,19,33,39,25,32,22,27,14,24,13,12,22,13,26,21,37,15,13,0,50198
8,18,20,56,41,16,13,22,26,23,26,7,25,40,18,14,22,24,11,11,0,50292
10,18,29,42,38,22,32,22,17,20,24,9,20,22,21,13,30,36,7,9,0,50408
11,17,29,35,61,46,31,10,9,12,46,5,19,13,11,8,32,35,7,4,0,46679
4,27,27,49,40,23,23,19,20,16,27,22,26,23,18,15,30,22,9,1,0,49483
12,18,19,44,29,30,29,20,32,24,29,8,19,19,16,22,18,29,15,9,0,50077
12,23,25,45,27,36,27,22,22,23,31,4,20,35,14,10,23,24,12,6,0,49238
4,16,10,42,39,12,45,15,33,8,37,4,38,23,4,9,65,23,12,2,0,49971
4,31,32,65,28,37,17,20,12,18,32,14,19,18,10,20,17,17,23,7,0,49065
14,13,17,41,20,28,41,24,23,12,29,18,22,30,10,21,42,21,13,2,0,49299
8,27,16,24,40,31,52,24,16,18,26,23,20,13,13,17,30,8,31,4,0,50280
15,35,20,40,50,30,25,15,10,14,17,12,20,27,19,11,36,26,18,1,0,50236
6,28,68,39,29,65,12,23,7,4,38,13,18,21,8,10,24,16,7,5,0,45381
12,29,74,31,29,80,12,25,11,3,28,10,13,19,7,8,23,7,10,10,0,45292
7,27,17,31,58,21,32,22,19,17,17,13,28,25,13,12,33,28,18,3,0,50155
8,28,35,32,39,30,22,24,16,17,35,13,21,28,10,13,32,20,15,3,0,48587
12,31,36,51,23,40,11,19,39,24,30,11,13,26,17,12,14,18,6,8,0,49108
4,29,25,33,42,24,54,31,17,8,29,3,25,18,8,24,37,14,15,1,0,49452
5,30,27,51,23,23,33,19,15,20,44,5,28,22,9,12,46,19,7,3,0,49754
6,12,18,54,33,22,31,21,28,23,20,7,23,20,17,17,34,25,16,14,0,51172
13,17,18,39,41,21,34,16,19,20,19,17,30,27,7,24,25,30,22,2,0,49953
13,15,25,48,29,35,16,25,20,24,46,10,17,41,16,16,13,12,8,12,0,48193
4,22,56,39,29,36,11,57,9,11,59,0,12,31,6,4,34,19,2,1,0,45497
13,31,25,37,37,25,26,21,18,14,30,7,22,30,14,23,27,29,11,2,0,49642
10,20,28,57,33,21,29,20,34,21,31,20,12,28,14,18,17,14,5,10,0,49644
4,35,14,69,40,31,20,17,10,13,54,12,16,23,8,6,34,24,10,2,0,48048
6,38,23,58,28,28,19,23,11,13,40,15,24,24,10,7,30,24,11,10,0,49773
9,13,25,47,36,17,23,27,20,16,24,10,23,29,14,17,38,34,15,5,0,49967
5,44,18,46,35,40,16,15,18,13,32,10,16,30,13,19,38,18,10,6,0,49433
7,32,24,43,22,57,19,20,24,15,28,10,13,21,18,26,19,15,17,12,0,49098
5,31,14,32,49,30,33,20,9,21,22,20,26,26,12,10,38,7,32,5,0,50502
7,24,46,60,31,41,20,14,8,11,68,9,15,17,11,7,22,17,13,1,0,46212
4,28,16,43,32,33,18,26,21,19,21,10,23,37,10,16,38,29,11,7,0,49766
12,35,10,57,41,9,27,17,26,24,17,14,16,23,20,25,31,17,11,10,0,52646
6,21,12,38,47,20,28,34,33,19,24,13,6,31,13,29,28,27,10,3,0,49313
12,36,21,30,29,49,21,13,21,18,18,9,8,37,18,13,35,34,16,4,0,49694
16,24,5,43,25,6,40,33,23,5,32,6,35,19,12,28,60,17,11,2,0,51537
8,23,17,47,27,40,17,19,22,25,19,15,21,31,18,22,30,28,10,3,0,49666
12,19,25,43,29,17,28,25,28,14,27,16,29,22,13,15,33,27,11,9,0,50546
3,40,25,55,30,35,12,12,9,11,46,7,13,34,16,10,28,27,22,7,0,49132
15,37,16,55,31,17,32,14,19,11,38,10,32,20,10,18,40,19,5,3,0,50594
7,39,26,64,20,42,6,20,4,12,51,8,29,26,9,10,31,13,15,10,0,48714
11,25,22,34,43,33,26,21,20,27,28,2,10,30,23,17,29,24,9,8,0,50045
11,37,40,53,20,22,24,14,19,23,38,7,19,23,17,14,21,17,15,9,0,51056
5,45,48,42,27,14,45,24,22,11,22,10,20,22,5,17,19,21,15,9,0,51267
15,35,24,43,25,19,30,21,23,20,29,13,18,13,17,15,37,31,11,4,0,51506
8,27,36,34,35,29,3,15,15,12,23,42,25,25,24,20,27,28,13,2,0,49405
10,15,31,47,27,27,27,18,24,21,20,8,16,30,25,33,21,22,15,6,0,50514
15,29,27,44,33,12,23,29,34,19,29,12,9,36,17,23,15,16,14,7,0,50619
6,16,42,33,35,63,18,18,9,9,36,4,50,17,6,9,16,18,33,5,0,46893
12,22,51,35,62,36,21,30,7,10,25,12,11,17,14,18,10,14,31,5,0,47916
14,17,12,53,26,16,41,22,30,15,22,5,23,13,20,29,40,32,10,3,0,51597
10,32,15,29,37,13,27,28,30,23,21,7,9,27,17,31,36,31,14,6,0,51710
13,34,58,28,28,48,24,19,11,8,36,2,17,23,22,8,31,23,9,1,0,48227
10,26,33,59,37,31,18,26,20,22,36,12,11,27,12,15,16,13,9,10,0,48910
12,24,20,41,29,21,44,22,20,24,15,6,17,29,22,23,31,18,19,6,0,52055
14,20,20,44,20,32,32,19,25,12,33,11,21,36,13,9,27,32,13,10,0,49786
11,26,21,45,31,26,33,18,33,21,16,8,14,27,17,18,28,23,17,10,0,51427
7,22,27,29,35,27,35,27,11,9,42,4,19,18,7,9,58,41,13,3,0,48984
9,23,17,33,35,24,29,27,22,18,14,17,32,11,17,26,43,16,26,4,0,51563
16,36,18,77,36,23,16,19,25,17,26,7,17,21,7,16,33,21,7,5,0,50318
8,24,18,50,27,27,28,19,25,20,26,9,23,26,17,25,31,16,10,14,0,51146
6,18,23,49,35,33,38,23,31,13,30,5,17,14,12,14,38,29,9,6,0,49308
9,19,17,50,36,28,24,23,36,22,17,14,19,36,20,15,34,10,5,10,0,50640
12,25,22,44,33,16,19,31,33,22,30,16,15,39,16,17,21,11,9,13,0,50694
12,16,24,53,23,22,25,17,20,37,31,5,20,26,16,17,17,17,30,16,0,51964
8,21,25,43,33,30,42,19,22,15,36,3,19,25,9,17,35,29,8,5,0,49302
9,16,20,47,18,26,29,17,32,33,28,2,19,23,18,20,23,17,30,17,0,52259
18,22,20,33,26,35,14,31,16,24,32,8,21,33,15,21,37,24,10,4,0,49586
17,22,20,32,26,35,15,31,18,23,30,8,21,33,16,21,36,26,10,4,0,49671
6,22,21,46,33,21,38,21,22,29,22,10,14,25,15,19,35,27,16,2,0,50985
8,29,18,46,32,27,14,21,30,28,31,14,15,39,19,22,15,9,13,14,0,50719
12,26,42,35,48,32,17,25,18,19,24,10,14,31,13,15,17,17,23,6,0,49098
9,20,19,68,40,17,20,21,29,32,24,16,20,33,18,10,21,12,5,10,0,50902
12,19,50,26,70,49,14,10,9,15,55,11,15,14,17,9,11,10,25,3,0,45993
19,23,20,34,26,33,14,28,19,23,35,9,21,26,16,22,37,25,10,4,0,49776
5,20,17,28,28,24,64,29,26,18,18,26,15,13,19,18,34,13,25,4,0,51537
12,34,20,27,48,23,30,13,20,17,22,23,20,25,13,14,29,40,10,4,0,50477
7,27,11,51,35,30,27,20,37,18,18,12,17,27,17,18,29,28,11,4,0,50491
6,21,17,60,39,40,20,15,25,22,31,17,20,28,13,10,23,15,15,7,0,48965
4,25,18,46,53,27,23,24,25,15,33,8,14,26,10,8,36,31,16,2,0,48837
21,23,26,55,26,24,32,30,16,28,24,2,17,28,10,16,35,18,9,4,0,50707
8,36,10,48,21,20,29,18,28,11,24,10,42,22,17,18,35,23,21,4,0,52306
15,20,21,42,31,26,16,27,37,42,19,10,13,32,20,15,21,17,12,9,0,51418
12,35,24,33,28,31,18,14,23,18,45,5,29,21,23,18,27,23,13,5,0,50471
5,41,33,46,22,27,17,16,16,25,43,5,26,32,14,6,22,27,9,13,0,50878
17,26,22,37,29,33,17,16,27,23,44,11,13,33,14,11,38,15,14,5,0,49500
12,39,14,59,33,21,38,17,21,10,22,7,19,19,18,19,46,21,8,2,0,51763
8,31,26,39,19,34,15,23,31,12,46,9,22,31,11,19,30,20,16,3,0,48945
14,26,13,52,24,11,26,24,24,25,28,7,25,26,20,25,30,30,9,6,0,52221
18,22,20,33,26,35,15,31,16,23,30,8,21,33,16,22,38,24,10,4,0,49831
19,22,20,32,30,35,15,29,19,23,28,7,22,29,16,23,36,26,10,4,0,49907
3,31,20,54,38,24,19,22,25,30,34,4,16,34,13,14,33,14,8,9,0,50502
13,20,19,62,48,16,23,23,30,25,15,15,9,34,15,24,17,14,17,6,0,50727
5,36,45,49,35,44,5,23,9,12,61,2,17,33,8,4,23,18,10,6,0,46804
11,16,26,53,38,22,19,27,30,36,22,4,15,28,19,14,23,11,16,15,0,51500
11,22,12,50,40,22,24,22,21,13,30,20,23,34,17,21,34,13,14,2,0,49910
10,19,35,32,31,35,25,17,23,27,27,12,13,26,18,27,25,22,13,8,0,49964
9,43,30,46,24,13,17,21,19,23,20,6,32,24,14,17,47,26,10,4,0,52623
13,16,59,32,44,35,12,37,19,16,42,1,19,37,7,10,22,13,7,4,0,46701
10,15,20,50,43,22,36,20,18,30,34,2,19,27,14,13,29,16,22,5,0,50397
14,19,15,44,30,12,53,21,25,10,19,6,32,14,13,25,58,18,10,7,0,52439
19,22,20,32,29,35,15,30,19,23,27,8,22,29,16,23,36,26,10,4,0,49953
14,19,21,55,44,35,27,23,24,10,15,12,20,19,9,28,33,22,13,2,0,49249
11,12,22,55,44,31,24,21,19,22,23,12,16,26,13,12,41,23,9,9,0,49725
6,13,42,81,34,44,5,15,5,19,58,13,12,49,7,7,13,6,9,7,0,45777
12,20,25,41,23,46,28,25,29,11,36,6,12,33,18,19,25,19,13,4,0,48462
14,32,20,28,27,20,38,26,26,18,26,11,14,35,14,18,25,28,17,8,0,51402
8,29,28,54,42,38,13,20,15,24,50,12,10,27,16,11,17,9,9,13,0,48671
8,20,29,54,24,28,19,9,18,33,39,5,22,29,13,13,21,18,26,17,0,51145
7,30,19,39,31,37,13,24,11,19,45,28,26,23,12,16,20,15,16,15,0,49602
14,21,26,34,40,29,24,23,24,17,33,12,19,35,10,15,31,21,13,5,0,49228
5,14,49,35,46,22,29,40,12,17,16,20,16,38,12,15,26,19,8,7,0,49093
6,31,18,34,44,30,30,26,19,17,18,17,23,15,15,17,43,18,23,2,0,50916
9,20,21,41,47,18,19,29,38,27,39,16,9,34,10,21,17,15,7,9,0,49293
18,23,53,33,41,48,17,18,7,4,85,1,15,17,15,11,11,15,11,3,0,45210
8,24,54,28,43,51,19,17,4,9,50,4,19,18,19,5,22,26,21,5,0,47314
6,34,41,35,41,35,18,25,7,12,59,14,14,11,18,10,45,12,5,4,0,48240
11,14,18,42,26,16,41,22,22,18,12,13,45,19,14,21,51,28,9,4,0,52254
8,20,21,39,48,25,30,29,28,16,27,7,26,22,6,32,30,23,6,3,0,49236
10,27,22,48,53,24,23,26,19,14,34,8,16,19,13,14,42,21,6,7,0,49747
11,18,21,44,53,30,21,30,22,16,31,11,16,27,17,22,27,17,11,1,0,48673
6,38,13,29,28,39,62,25,6,5,33,4,29,16,3,16,54,22,14,4,0,50381
11,38,48,54,21,38,13,14,10,15,38,9,34,28,11,1,30,13,13,7,0,49712
7,29,14,37,20,11,72,19,22,15,20,1,37,16,6,17,63,18,15,7,0,53565
13,28,20,50,33,17,28,16,18,25,18,17,19,27,11,23,33,19,20,11,0,52265
10,28,29,41,30,37,11,25,12,15,38,7,22,30,5,7,43,28,16,12,0,49419
3,26,33,32,34,28,42,25,9,11,30,23,27,25,12,14,26,29,12,5,0,49674
3,28,26,28,41,33,38,20,21,19,18,30,30,5,13,7,39,14,33,0,0,50802
14,21,21,36,25,31,29,24,30,19,23,11,16,32,25,19,33,32,5,1,0,50583
10,40,35,65,39,35,5,23,18,14,39,15,12,42,12,10,11,10,6,6,0,48419
7,31,27,69,33,30,11,19,15,15,41,6,23,31,7,5,28,23,17,9,0,49565
6,29,26,48,26,23,27,20,18,22,29,12,19,32,18,20,20,25,14,13,0,51550
13,34,32,47,37,22,21,13,20,18,38,12,29,22,7,9,37,17,15,4,0,50396
8,27,37,40,43,42,20,22,14,19,29,6,25,26,14,7,33,19,9,7,0,49243
11,18,34,22,47,42,23,22,9,24,47,10,15,20,13,17,22,13,35,3,0,48309
7,22,12,49,35,22,35,20,21,15,50,8,33,22,11,9,39,13,22,2,0,50009
16,16,29,65,32,27,16,33,25,26,23,9,16,27,13,19,17,21,6,11,0,50220
8,17,22,53,29,37,20,28,13,11,23,14,20,42,11,15,31,29,16,8,0,49313
25,11,65,49,33,38,15,20,9,20,37,1,29,11,9,13,27,21,11,3,0,48283
11,35,21,38,33,17,22,23,22,23,27,9,27,26,21,9,37,28,10,8,0,52329
6,28,19,47,50,21,43,23,18,11,23,23,19,20,13,23,28,21,10,1,0,50146
6,28,10,55,23,20,37,17,33,9,27,10,26,27,10,23,49,25,10,2,0,51200
12,19,36,36,59,27,24,32,26,22,29,3,18,18,13,11,28,15,16,3,0,49232
12,32,14,39,36,31,32,28,14,22,44,11,20,23,6,17,25,20,14,7,0,49798
14,34,22,39,26,33,36,23,19,18,24,7,20,19,21,18,25,30,16,3,0,51389
8,31,19,36,32,28,30,29,15,16,15,16,26,22,17,29,37,21,17,4,0,51624
14,4,18,34,36,33,29,17,30,26,30,11,14,34,17,26,34,27,10,4,0,49535
7,21,50,65,36,41,13,20,5,12,55,6,18,26,9,3,24,13,13,11,0,47571
9,13,43,34,50,39,17,26,18,13,33,5,13,31,13,24,22,12,24,9,0,48238
6,8,47,38,58,15,23,45,28,16,21,6,31,17,5,29,21,27,4,3,0,48666
18,13,28,58,29,30,15,27,26,21,27,9,12,38,22,10,36,17,4,8,0,50140
11,21,22,31,23,34,19,27,27,20,36,13,16,32,19,16,35,29,13,4,0,49924
16,21,28,43,33,33,22,17,29,16,24,7,25,37,16,17,29,20,10,5,0,50112
4,25,65,29,31,66,13,22,3,10,82,7,11,14,6,10,25,19,4,2,0,44012
6,28,28,48,24,32,22,19,16,11,33,12,27,41,7,17,30,17,16,14,0,50236
13,38,35,57,38,15,26,13,5,11,31,7,32,18,8,17,50,16,13,5,0,51570
10,29,48,47,46,27,14,27,9,11,37,6,25,22,11,5,30,20,17,7,0,49356
10,22,17,38,30,28,21,38,19,9,46,0,24,43,5,20,43,20,13,2,0,48650
15,35,33,48,33,31,26,21,14,13,35,7,20,26,5,11,42,21,5,7,0,49934
17,21,27,41,34,48,15,24,20,14,50,8,17,34,6,16,30,13,7,5,1,47305
9,23,30,54,47,27,20,14,32,18,13,7,14,24,20,24,17,32,12,11,0,51090
8,10,41,82,34,45,5,20,6,21,52,12,14,48,6,6,16,5,10,7,0,46317
11,27,35,26,27,33,4,28,28,14,16,41,27,19,26,27,25,28,5,1,0,50180
12,15,31,38,42,32,26,26,18,12,37,22,13,25,15,14,38,20,9,3,0,48582
12,27,24,41,44,16,16,21,22,23,17,21,23,28,12,21,32,30,12,7,0,51557
12,21,15,30,36,21,41,27,19,20,29,17,21,22,10,12,44,33,18,1,0,50956
10,10,11,48,46,37,16,25,39,45,37,7,13,30,15,19,17,14,4,6,0,49202
16,29,20,46,34,14,29,27,13,23,16,10,27,27,11,22,43,24,13,5,0,52495
10,26,48,28,45,40,20,30,5,19,31,16,29,17,14,12,16,14,24,5,0,49188
